="",="(1)",="(2)"
="",="Dretwd",="Dretwd"
="emotion",="0.00319***",="0.00317***"
="",="(36.05)",="(38.43)"
="emo_PE",="0.00000850***",="0.00000716***"
="",="(15.04)",="(13.62)"
="emo_PB",="0.000284***",="0.000286***"
="",="(13.60)",="(15.03)"
="emo_CMV",="2.94e-14***",="1.19e-14***"
="",="(8.84)",="(4.26)"
="emo_ISR",="-0.00000667",="-0.00000764"
="",="(-0.71)",="(-0.88)"
="emo_NA",="-3.17e-14***",="-2.31e-14***"
="",="(-6.23)",="(-5.00)"
="RiskPremium1",="1.014***",="1.015***"
="",="(174.93)",="(174.92)"
="SMB1",="0.582***",="0.586***"
="",="(48.82)",="(49.09)"
="HML1",="-0.107***",="-0.119***"
="",="(-4.67)",="(-5.17)"
="_cons",="-0.00265***",="-0.00243***"
="",="(-23.67)",="(-21.76)"
="adj. R-sq",="0.487",=""
="F",="6737.3",=""
="N",="62216",="62216"
="t statistics in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
